IsoWeeks,cold flu,flu,flu symptoms,flue,bronchitis,chest infection,colds,laryngitis,pleurisy,sinusitis,gastric flu,sinuses,tonsilitis,Disease Rate
Iso Week 26,0.0,106.16717082697696,0.0,407.6119033455613,0.0,0.0,311.70439697797286,218.46176107437836,0.0,101.63787334234046,0.0,0.0,615.2809534966738,2.34204927
Iso Week 27,0.0,292.5084194657492,97.83097173393848,195.4507473894866,115.5873367709839,0.0,309.3508409692949,0.0,0.0,96.83364480787296,205.864652682752,0.0,0.0,1.82596654
Iso Week 28,0.0,311.95706238249807,96.01646670271867,0.0,100.47441692122024,206.99753386789163,0.0,0.0,97.31834836118404,95.6182234520206,0.0,0.0,307.7674414212529,2.128123687
Iso Week 29,0.0,396.06563320683927,0.0,202.8657595768695,305.79474201923506,103.51972368588174,194.1127729641182,201.60104930031096,0.0,295.0830549755527,0.0,0.0,202.47051641353028,3.262025457
Iso Week 30,0.0,140.46009018346186,0.0,350.4824818044729,315.32695236413764,189.0029694060482,214.2676426054491,111.37010017954688,0.0,217.46501856655013,92.76824882599604,0.0,0.0,2.014401242
Iso Week 31,0.0,489.2612200723416,0.0,292.10605425332454,0.0,0.0,286.3669132266384,0.0,0.0,99.8062318548625,0.0,108.34733910578746,199.65516175357456,2.353742834
Iso Week 32,0.0,93.16384313587132,0.0,388.0739482116748,96.78456307850615,204.97138679453477,95.39504298021755,95.47351037262214,0.0,190.96674029616807,0.0,0.0,97.88239140386624,2.260050982
Iso Week 33,0.0,491.7068419458975,199.48636645222004,103.10370791043644,0.0,0.0,0.0,0.0,93.44874453361338,0.0,0.0,200.30591358421495,92.42792472196012,1.810522758
Iso Week 34,0.0,403.1482197531269,0.0,97.74845517208992,97.1092130931066,0.0,205.80312093307788,0.0,99.33811577025506,297.0759216190642,0.0,0.0,100.63057493043269,1.250256005
Iso Week 35,0.0,0.0,0.0,334.33201105799947,0.0,0.0,220.0427499895148,297.2995975045878,0.0,99.04776458764825,0.0,0.0,0.0,1.287526019
Iso Week 36,0.0,323.82613881507024,0.0,432.88960080921214,0.0,105.02415661046334,0.0,0.0,0.0,312.498057248033,0.0,0.0,0.0,1.703135296
Iso Week 37,0.0,532.8948295437212,102.99898867825752,418.06737803280976,0.0,0.0,99.33864170355038,0.0,0.0,102.69802589162548,118.82582960434164,0.0,0.0,2.313717557
Iso Week 38,0.0,308.5006708336561,102.17324769414758,198.14855333125567,306.4434820674431,197.02238861264385,0.0,0.0,101.20257174885462,97.89761728457589,0.0,108.87512541328866,196.0820179440844,3.13514671
Iso Week 39,109.3882401415509,405.7043660032053,0.0,205.89617088456131,109.2300543258172,0.0,96.57433407489408,0.0,98.95668475968594,297.5321750778848,0.0,0.0,206.71963117935175,4.894212186
Iso Week 40,0.0,0.0,0.0,202.5990973613065,0.0,98.85264889630916,395.6132149598419,0.0,98.93499176224452,0.0,202.26227418750017,608.8401918315843,0.0,5.711558154
Iso Week 41,0.0,508.9754735691764,0.0,548.8917227241756,204.46148070783303,0.0,200.2577226055715,0.0,110.4753060953278,413.2362909348079,96.97480826417068,0.0,0.0,6.476834805
Iso Week 42,0.0,598.7847055408189,0.0,184.99798428265763,107.22098996174134,0.0,0.0,0.0,380.5132896720089,0.0,286.1018011067184,90.97814259028698,200.35525570884496,7.296121185
Iso Week 43,98.51762813803808,194.75839203778492,86.82491174692152,724.310374824002,166.3242279679344,0.0,99.51136454567674,0.0,0.0,180.7938598334831,0.0,188.5129400928201,261.39269199411103,5.955189225
Iso Week 44,0.0,760.978884724468,92.64359229718193,446.5564281988868,0.0,0.0,181.38863435500616,0.0,99.03293525459397,91.60902370378008,0.0,0.0,0.0,6.066208331
